Year,total_pop,fem_pop,male_pop,total_death,fem_death,male_death,total_mortality,fem_mortality,male_mortality,Age_1-4,Age_10-14,Age_100-104,Age_105-109,Age_110+,Age_15-19,Age_20-24,Age_25-29,Age_30-34,Age_35-39,Age_40-44,Age_45-49,Age_5-9,Age_50-54,Age_55-59,Age_60-64,Age_65-69,Age_70-74,Age_75-79,Age_80-84,Age_85-89,Age_90-94,Age_95-99
1876,67837.0,33781.0,34056.0,18041.0,7982.0,10059.0,0.266,0.236,0.295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1876,260822.0,129479.0,131343.0,5128.0,2566.0,2562.0,0.02,0.02,0.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1876,285555.0,143808.0,141747.0,1626.0,787.0,839.0,0.006,0.005,0.006,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1876,272788.0,137624.0,135164.0,1037.0,560.0,477.0,0.004,0.004,0.004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1876,246829.0,125369.0,121460.0,1485.0,754.0,731.0,0.006,0.006,0.006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1876,216100.0,110514.0,105586.0,1698.0,831.0,867.0,0.008,0.008,0.008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1876,205146.0,106476.0,98670.0,1899.0,943.0,956.0,0.009,0.009,0.01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1876,199292.0,103386.0,95906.0,2099.0,1044.0,1055.0,0.011,0.01,0.011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1876,186646.0,96655.0,89991.0,2349.0,1159.0,1190.0,0.013,0.012,0.013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1876,167366.0,86185.0,81181.0,2269.0,1010.0,1259.0,0.014,0.012,0.016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1876,154278.0,79790.0,74488.0,2545.0,1076.0,1469.0,0.016,0.013,0.02,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1876,135058.0,70109.0,64949.0,3063.0,1365.0,1698.0,0.023,0.019,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1876,111082.0,58045.0,53037.0,3481.0,1588.0,1893.0,0.031,0.027,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1876,90116.0,46761.0,43355.0,4253.0,2095.0,2158.0,0.047,0.045,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1876,69454.0,36114.0,33340.0,4713.0,2433.0,2280.0,0.068,0.067,0.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1876,44762.0,22989.0,21773.0,4843.0,2410.0,2433.0,0.108,0.105,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1876,23466.0,11914.0,11552.0,3491.0,1733.0,1758.0,0.149,0.145,0.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1876,8486.02,4237.53,4248.49,1854.0,919.0,935.0,0.218,0.217,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1876,2409.1,1169.13,1239.97,768.0,359.0,409.0,0.319,0.307,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1876,379.75,198.47,181.28,151.0,72.0,79.0,0.398,0.363,0.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1876,49.29,31.54,17.75,26.0,13.0,13.0,0.527,0.412,0.732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1876,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1876,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1876,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1877,70002.0,34807.0,35195.0,17243.0,7665.0,9578.0,0.246,0.22,0.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1877,260061.0,129319.0,130742.0,6695.0,3278.0,3417.0,0.026,0.025,0.026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1877,290696.0,145811.0,144885.0,2173.0,1057.0,1116.0,0.007,0.007,0.008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1877,273912.0,138424.0,135488.0,1179.0,610.0,569.0,0.004,0.004,0.004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1877,250987.0,127488.0,123499.0,1516.0,798.0,718.0,0.006,0.006,0.006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1877,218091.0,111343.0,106748.0,1623.0,779.0,844.0,0.007,0.007,0.008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1877,204268.0,105610.0,98658.0,1826.0,922.0,904.0,0.009,0.009,0.009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1877,198438.0,102975.0,95463.0,1988.0,992.0,996.0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1877,187698.0,97251.0,90447.0,2156.0,1078.0,1078.0,0.011,0.011,0.012,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1877,168422.0,86764.0,81658.0,2204.0,1045.0,1159.0,0.013,0.012,0.014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1877,154561.0,79966.0,74595.0,2355.0,1055.0,1300.0,0.015,0.013,0.017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1877,136610.0,70984.0,65626.0,2768.0,1288.0,1480.0,0.02,0.018,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1877,112417.0,58854.0,53563.0,3128.0,1485.0,1643.0,0.028,0.025,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1877,90361.0,47016.0,43345.0,3722.0,1828.0,1894.0,0.041,0.039,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1877,69213.0,36028.0,33185.0,4389.0,2269.0,2120.0,0.063,0.063,0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1877,45174.0,23288.0,21886.0,4577.0,2405.0,2172.0,0.101,0.103,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1877,23938.0,12202.0,11736.0,3262.0,1610.0,1652.0,0.136,0.132,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1877,8515.51,4246.01,4269.5,1679.0,841.0,838.0,0.197,0.198,0.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1877,2369.57,1175.42,1194.15,705.0,334.0,371.0,0.298,0.284,0.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1877,371.97,199.15,172.82,146.0,74.0,72.0,0.393,0.372,0.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1877,44.14,29.6,14.54,19.0,14.0,5.0,0.43,0.473,0.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1877,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1877,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1877,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1878,68913.0,34270.0,34643.0,16869.0,7553.0,9316.0,0.245,0.22,0.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1878,262787.0,130863.0,131924.0,6372.0,3179.0,3193.0,0.024,0.024,0.024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1878,294562.0,147257.0,147305.0,2057.0,1047.0,1010.0,0.007,0.007,0.007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1878,274243.0,138749.0,135494.0,1148.0,624.0,524.0,0.004,0.004,0.004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1878,255200.0,129555.0,125645.0,1400.0,730.0,670.0,0.005,0.006,0.005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1878,221251.0,112991.0,108260.0,1640.0,820.0,820.0,0.007,0.007,0.008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1878,203346.0,104660.0,98686.0,1809.0,906.0,903.0,0.009,0.009,0.009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1878,197376.0,102376.0,95000.0,1959.0,993.0,966.0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1878,188276.0,97608.0,90668.0,2100.0,1070.0,1030.0,0.011,0.011,0.011,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1878,170001.0,87623.0,82378.0,2075.0,955.0,1120.0,0.012,0.011,0.014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1878,154598.0,79962.0,74636.0,2268.0,1006.0,1262.0,0.015,0.013,0.017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1878,138022.0,71804.0,66218.0,2919.0,1354.0,1565.0,0.021,0.019,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1878,114154.0,59832.0,54322.0,3373.0,1584.0,1789.0,0.03,0.026,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1878,90840.0,47451.0,43389.0,3700.0,1811.0,1889.0,0.041,0.038,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1878,69107.0,35999.0,33108.0,4464.0,2333.0,2131.0,0.065,0.065,0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1878,45584.0,23586.0,21998.0,4637.0,2399.0,2238.0,0.102,0.102,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1878,24410.0,12490.0,11920.0,3530.0,1799.0,1731.0,0.145,0.144,0.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1878,8931.63,4488.66,4442.97,2045.0,1033.0,1012.0,0.229,0.23,0.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1878,2445.77,1221.41,1224.36,739.0,371.0,368.0,0.302,0.304,0.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1878,374.24,190.24,184.0,178.0,94.0,84.0,0.476,0.494,0.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1878,48.13,29.13,19.0,25.68,15.68,10.0,0.534,0.538,0.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1878,2.63,2.63,0.0,3.32,3.32,0.0,1.262,1.262,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1878,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1878,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1879,67681.0,33908.0,33773.0,15599.0,6894.0,8705.0,0.23,0.203,0.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1879,266471.0,132864.0,133607.0,5125.0,2545.0,2580.0,0.019,0.019,0.019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1879,295953.0,147814.0,148139.0,1683.0,800.0,883.0,0.006,0.005,0.006,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1879,273990.0,138523.0,135467.0,983.0,518.0,465.0,0.004,0.004,0.003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1879,259133.0,131451.0,127682.0,1460.0,773.0,687.0,0.006,0.006,0.005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1879,225812.0,115622.0,110190.0,1690.0,862.0,828.0,0.007,0.007,0.008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1879,202250.0,103632.0,98618.0,1761.0,861.0,900.0,0.009,0.008,0.009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1879,196131.0,101516.0,94615.0,1935.0,976.0,959.0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1879,188336.0,97752.0,90584.0,2182.0,1055.0,1127.0,0.012,0.011,0.012,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1879,172113.0,88769.0,83344.0,2179.0,1003.0,1176.0,0.013,0.011,0.014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1879,154370.0,79756.0,74614.0,2445.0,1118.0,1327.0,0.016,0.014,0.018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1879,139235.0,72535.0,66700.0,2832.0,1308.0,1524.0,0.02,0.018,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1879,116287.0,60970.0,55317.0,3507.0,1688.0,1819.0,0.03,0.028,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1879,91521.0,48048.0,43473.0,3957.0,1984.0,1973.0,0.043,0.041,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1879,69188.0,36061.0,33127.0,4635.0,2403.0,2232.0,0.067,0.067,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1879,45999.0,23888.0,22111.0,4858.0,2509.0,2349.0,0.106,0.105,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1879,24882.0,12778.0,12104.0,3812.0,1875.0,1937.0,0.153,0.147,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1879,9192.31,4578.63,4613.68,2012.0,976.0,1036.0,0.219,0.213,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1879,2472.51,1249.51,1223.0,806.0,407.0,399.0,0.326,0.326,0.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1879,347.04,165.81,181.23,168.0,86.0,82.0,0.484,0.519,0.452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1879,40.3,24.53,15.77,22.0,12.0,10.0,0.546,0.489,0.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1879,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1879,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1879,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1880,66055.0,33055.0,33000.0,15145.0,6694.0,8451.0,0.229,0.203,0.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1880,269334.0,134597.0,134737.0,5579.0,2734.0,2845.0,0.021,0.02,0.021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1880,295842.0,147565.0,148277.0,1864.0,934.0,930.0,0.006,0.006,0.006,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1880,274316.0,138460.0,135856.0,924.0,476.0,448.0,0.003,0.003,0.003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1880,261941.0,132983.0,128958.0,1383.0,739.0,644.0,0.005,0.006,0.005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1880,230827.0,118394.0,112433.0,1664.0,801.0,863.0,0.007,0.007,0.008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1880,201923.0,103146.0,98777.0,1661.0,860.0,801.0,0.008,0.008,0.008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1880,195008.0,100562.0,94446.0,1880.0,938.0,942.0,0.01,0.009,0.01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1880,188080.0,97733.0,90347.0,2164.0,1047.0,1117.0,0.012,0.011,0.012,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1880,173910.0,89734.0,84176.0,2194.0,1037.0,1157.0,0.013,0.012,0.014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1880,154641.0,79808.0,74833.0,2282.0,1038.0,1244.0,0.015,0.013,0.017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1880,140231.0,73118.0,67113.0,2894.0,1309.0,1585.0,0.021,0.018,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1880,118392.0,62112.0,56280.0,3339.0,1567.0,1772.0,0.028,0.025,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1880,92600.0,48828.0,43772.0,3713.0,1906.0,1807.0,0.04,0.039,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1880,69546.0,36319.0,33227.0,4441.0,2249.0,2192.0,0.064,0.062,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1880,46410.0,24187.0,22223.0,4471.0,2328.0,2143.0,0.096,0.096,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1880,25354.0,13066.0,12288.0,3642.0,1860.0,1782.0,0.144,0.142,0.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1880,9483.52,4784.05,4699.47,2085.0,1042.0,1043.0,0.22,0.218,0.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1880,2388.07,1198.53,1189.54,737.0,360.0,377.0,0.309,0.3,0.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1880,337.98,162.85,175.13,136.0,61.0,75.0,0.402,0.375,0.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1880,39.02,21.15,17.87,24.67,14.0,10.67,0.632,0.662,0.597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1880,0.0,0.0,0.0,0.32,0.0,0.32,inf,,inf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1880,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1880,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1881,71720.0,35741.0,35979.0,15914.0,7104.0,8810.0,0.222,0.199,0.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1881,268813.0,134470.0,134343.0,6294.0,3204.0,3090.0,0.023,0.024,0.023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1881,299226.0,149325.0,149901.0,2013.0,984.0,1029.0,0.007,0.007,0.007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1881,275080.0,138375.0,136705.0,971.0,516.0,455.0,0.004,0.004,0.003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1881,263714.0,134081.0,129633.0,1369.0,723.0,646.0,0.005,0.005,0.005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1881,235814.0,121119.0,114695.0,1690.0,869.0,821.0,0.007,0.007,0.007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1881,202670.0,103441.0,99229.0,1690.0,833.0,857.0,0.008,0.008,0.009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1881,193874.0,99519.0,94355.0,1807.0,894.0,913.0,0.009,0.009,0.01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1881,187558.0,97498.0,90060.0,2159.0,1067.0,1092.0,0.012,0.011,0.012,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1881,175334.0,90523.0,84811.0,2269.0,1089.0,1180.0,0.013,0.012,0.014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1881,155409.0,80124.0,75285.0,2325.0,1018.0,1307.0,0.015,0.013,0.017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1881,141008.0,73541.0,67467.0,2822.0,1307.0,1515.0,0.02,0.018,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1881,120426.0,63234.0,57192.0,3402.0,1596.0,1806.0,0.028,0.025,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1881,94079.0,49785.0,44294.0,3760.0,1879.0,1881.0,0.04,0.038,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1881,70169.0,36765.0,33404.0,4331.0,2250.0,2081.0,0.062,0.061,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1881,46828.0,24489.0,22339.0,4604.0,2358.0,2246.0,0.098,0.096,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1881,25831.0,13356.0,12475.0,3691.0,1873.0,1818.0,0.143,0.14,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1881,9637.01,4941.49,4695.52,2008.0,1024.0,984.0,0.208,0.207,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1881,2311.02,1170.53,1140.49,677.0,343.0,334.0,0.293,0.293,0.293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1881,381.1,187.13,193.97,162.0,83.0,79.0,0.425,0.444,0.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1881,35.03,17.0,18.03,20.62,8.62,12.0,0.589,0.507,0.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1881,0.33,0.33,0.0,0.38,0.38,0.0,1.152,1.152,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1881,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1881,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1882,73207.0,36366.0,36841.0,14224.0,6275.0,7949.0,0.194,0.173,0.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1882,261808.0,130998.0,130810.0,5692.0,2784.0,2908.0,0.022,0.021,0.022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1882,308546.0,154118.0,154428.0,1931.0,980.0,951.0,0.006,0.006,0.006,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1882,275987.0,138575.0,137412.0,984.0,513.0,471.0,0.004,0.004,0.003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1882,262814.0,134024.0,128790.0,1358.0,761.0,597.0,0.005,0.006,0.005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1882,238737.0,122549.0,116188.0,1755.0,883.0,872.0,0.007,0.007,0.008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1882,204404.0,104672.0,99732.0,1644.0,837.0,807.0,0.008,0.008,0.008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1882,192285.0,98627.0,93658.0,1866.0,940.0,926.0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1882,186424.0,96818.0,89606.0,2135.0,1050.0,1085.0,0.011,0.011,0.012,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1882,175786.0,90997.0,84789.0,2341.0,1093.0,1248.0,0.013,0.012,0.015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1882,156241.0,80734.0,75507.0,2353.0,1054.0,1299.0,0.015,0.013,0.017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1882,140871.0,73479.0,67392.0,2786.0,1257.0,1529.0,0.02,0.017,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
